CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/?) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-??),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W],,,,ceff
20,10000,80,1.72,1.683333333,121.810576,8.209467789,146.3837626,139.3622972,139.374104,0.593257573,20.50478029,21.7714003,20.52,3,121.738117,1855840,0.953365626,2.102166667,,,,
20,10000,80,1.72,1.816666667,121.760253,8.212860727,164.80951,142.6945409,142.707988,0.550378439,22.1197793,25.35534159,22.12,4,121.686138,1829460,0.973790933,2.0555,,,,
20,10000,80,1.72,1.741666667,121.59082,8.224305091,135.097101,138.4683501,138.480639,0.573808915,21.17706782,20.56432329,21.18,3,121.522267,1809160,0.95459655,2.044,,,,
20,10000,80,1.72,1.685,122.296463,8.176851362,117.3448957,136.7335526,136.745392,0.592709364,20.60695402,18.19080573,20.62,2,122.220599,1819570,0.947789079,2.263666667,,,,
20,10000,80,1.72,1.715,121.304793,8.243697345,138.7636162,137.7516468,137.767263,0.58259873,20.803772,21.27246236,20.82,3,121.229988,1841720,0.95541398,1.932166667,,,,
20,10000,80,1.72,1.725,121.993997,8.19712465,136.0401402,138.4534935,138.464996,0.578772458,21.04396448,20.56977306,21.05,3,121.925645,1876020,0.966064701,2.121666667,,,,
30,10000,80,2.58,2.62,121.67406,8.218678657,148.9095741,150.6576201,150.667027,0.381656271,31.87860372,31.76470588,31.83,4,121.574014,1947370,1.164388543,2.665666667,,,,
30,10000,80,2.58,2.606666667,121.570482,8.225680968,146.1454147,151.1808652,151.185304,0.383531896,31.68937231,29.91371045,31.65,4,121.497192,1926040,1.155021676,2.774666667,,,,
30,10000,80,2.58,2.591666667,121.664999,8.219290743,138.1675437,148.3365907,148.344304,0.385728143,31.53151224,28.80102861,31.5,3,121.594174,1926090,1.152505671,2.642666667,,,,
30,10000,80,2.58,2.59,121.565668,8.226006704,155.9800852,150.6479632,150.655787,0.386098696,31.48550801,33.19395304,31.45,4,121.493979,1922450,1.150593969,2.466833333,,,,
